time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-02-08T06:57:04.530Z,36.1281667,-117.8745,3.73,0.83,ml,12,96,0.01909,0.13,ci,ci40179784,2022-02-08T07:00:35.829Z,"11km NE of Coso Junction, CA",earthquake,0.32,0.35,0.271,8,automatic,ci,ci
2022-02-08T06:52:46.980Z,19.1936664581299,-155.481170654297,36.5099983215332,2.18000007,md,46,84,,0.119999997,hv,hv72908452,2022-02-08T06:58:18.610Z,"1 km SSW of Pāhala, Hawaii",earthquake,0.44,0.75,1.85000002,18,automatic,hv,hv
2022-02-08T06:52:29.760Z,35.8923333,-117.7041667,4.74,0.77,ml,11,91,0.07057,0.14,ci,ci40179776,2022-02-08T06:56:02.513Z,"19km ESE of Little Lake, CA",earthquake,0.31,0.67,0.143,4,automatic,ci,ci
2022-02-08T06:51:14.500Z,37.3209991,-117.9191666,11.13,2.81,md,31,131,0.3039,0.11,nc,nc73689936,2022-02-08T07:00:11.061Z,"8km SE of Deep Springs, CA",earthquake,0.45,1.03,0.11,35,automatic,nc,nc
2022-02-08T06:38:28.066Z,61.4498,-140.4374,3.4,2,ml,,,,0.44,ak,ak0221slrc9g,2022-02-08T06:44:21.467Z,"132 km E of McCarthy, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-02-08T06:35:39.510Z,17.9186666666667,-66.9448333333333,11.97,1.77,md,5,251,,0.08,pr,pr71333503,2022-02-08T06:53:42.830Z,"7 km SSW of Guánica, Puerto Rico",earthquake,0.71,1,0.0586199565833337,4,reviewed,pr,pr
2022-02-08T06:32:39.211Z,-58.3487,-14.7617,10,5.1,mb,,88,12.708,0.83,us,us7000gj10,2022-02-08T06:50:34.040Z,"east of the South Sandwich Islands",earthquake,6.8,1.9,0.076,56,reviewed,us,us
2022-02-08T06:14:46.530Z,19.200834274292,-155.465835571289,34.9900016784668,2.29,ml,51,100,,0.119999997,hv,hv72908397,2022-02-08T06:21:48.040Z,"1 km E of Pāhala, Hawaii",earthquake,0.47,0.649999976,3.75,17,automatic,hv,hv
2022-02-08T06:12:09.220Z,35.7161667,-117.5568333,8.98,1.06,ml,17,142,0.1047,0.17,ci,ci40179752,2022-02-08T06:15:36.142Z,"15km WSW of Searles Valley, CA",earthquake,0.43,1.46,0.121,10,automatic,ci,ci
2022-02-08T06:11:41.420Z,19.2075004577637,-155.463500976562,36.75,1.89999998,md,40,102,,0.109999999,hv,hv72908392,2022-02-08T06:14:56.620Z,"1 km ENE of Pāhala, Hawaii",earthquake,0.53,0.970000029,0.569999993,5,automatic,hv,hv
2022-02-08T06:09:43.640Z,33.8925,-117.7011667,16.31,1.46,ml,9,116,0.1236,0.26,ci,ci40179744,2022-02-08T06:13:32.128Z,"10km E of Yorba Linda, CA",earthquake,1.12,2.57,0.414,15,automatic,ci,ci
2022-02-08T06:06:23.870Z,33.1643333,-115.9691667,5.93,1.02,ml,21,48,0.1318,0.23,ci,ci40179736,2022-02-08T06:09:54.550Z,"15km S of Salton City, CA",earthquake,0.36,2.91,0.134,21,automatic,ci,ci
2022-02-08T05:57:08.720Z,19.2026672363281,-155.467834472656,35.0999984741211,1.83000004,md,44,98,,0.109999999,hv,hv72908382,2022-02-08T06:00:17.420Z,"1 km E of Pāhala, Hawaii",earthquake,0.54,0.939999998,1.20000005,8,automatic,hv,hv
2022-02-08T05:40:13.469Z,38.1684,-117.9233,10.2,0.7,ml,10,127.34,0.041,0.1688,nn,nn00833474,2022-02-08T05:43:49.903Z,"29 km SSE of Mina, Nevada",earthquake,,0.7,0.25,5,automatic,nn,nn
2022-02-08T05:22:13.429Z,-25.8195,-71.1014,38.45,4.5,mb,,105,0.558,1.22,us,us7000gj0p,2022-02-08T05:44:03.040Z,"76 km SW of Taltal, Chile",earthquake,3.6,6.9,0.121,20,reviewed,us,us
2022-02-08T05:19:11.687Z,60.0543,-145.571,18.9,2.2,ml,,,,0.65,ak,ak0221sl1ssg,2022-02-08T05:23:53.545Z,"55 km S of Cordova, Alaska",earthquake,,0.3,,,automatic,ak,ak
